id,createdAt,twitterUrl,likeCount,retweetCount,viewCount,text,processed_text,polarity,sentiment
1.6101962277565563e+18,2023-01-03 08:47:51+00:00,https://twitter.com/sankargupta/status/1610196227756556288,0,0,39.0,"@bigbasket_com Very pathetic state of service delivery.Not expected such shabby standard from #BigBasket @TataCompanies.Please review if the helpless call center/Chat team is required at all.
No customer grievance escalation matrix. #SabKuchChaltaHai attitude.
@jagograhakjago @harimenon_bb",pathetic state service deliverynot expect shabby standard please review helpless call centerchat team require customer grievance escalation matrix attitude,-0.8176,Negative
1.6101973762282865e+18,2023-01-03 08:52:25+00:00,https://twitter.com/sankargupta/status/1610197376228286464,0,0,33.0,@bigbasket_com @TataCompanies @jagograhakjago @harimenon_bb Wasted some precious of moment of mine since 31st. No responsibility or commitment from the service provider like #BigBasket. If you don't have the process in place don't harass or exploit customers. #SadState,waste precious moment mine since 31st responsibility commitment service provider like dont process place dont harass exploit customer,0.837,Positive
1.610216266001965e+18,2023-01-03 10:07:28+00:00,https://twitter.com/sankargupta/status/1610216266001965056,0,0,40.0,"@bigbasket_com @TataCompanies @jagograhakjago @harimenon_bb Pathetic Quality of #BigBasket call center,got couple of call from them https://t.co/4Jyvlw3mp8 checking the order history in their system they can not understand the case properly.They only know sorry, have patience all this words but cannot correct anything.",pathetic quality call centergot couple call check order history system understand case properlythey know sorry patience word correct anything,-0.6124,Negative
1.610236618870526e+18,2023-01-03 11:28:21+00:00,https://twitter.com/suneethktv/status/1610236618870525955,0,0,151.0,When Swiggy #Instamart and #BigBasket compete to deliver in 15 minutes @JioMart seems to be living in some past era taking 2 days to deliver groceries &amp; F&amp;V,compete deliver 15 minute seem living past era take 2 day deliver grocery amp fampv,0.0,Neutral
1.6102569031160627e+18,2023-01-03 12:48:57+00:00,https://twitter.com/bigbasket_com/status/1610256903116062720,9,1,1225.0,"Experience the joy of tasty and crunchy guilt-free snacks.

Order now from bigbasket and enjoy the crunch!

#bigbasket #TastyFood #OnlineShopping #GroceryDelivery #ShopNow https://t.co/n0roU7JSOZ",experience joy tasty crunchy guiltfree snack order enjoy crunch,0.7906,Positive
1.6102654843600568e+18,2023-01-03 13:23:03+00:00,https://twitter.com/venkatarangan/status/1610265484360056834,2,0,199.0,"Examples of #mobileapp #userexperience designed by committee vs user-centric:
1. #bigbasket home screen presents an inside-out view, exposing internal teams, 
2. #swiggy is better, has search, but advt tries to dominate, 
3. #dunzo is best, lets me get to the task I have quickly. https://t.co/qd6ciHKLjQ",example design committee v usercentric 1 home screen present insideout view expose internal team 2 well search advt try dominate 3 best let get task quickly,0.6369,Positive
1.6105054572649103e+18,2023-01-04 05:16:37+00:00,https://twitter.com/sankargupta/status/1610505457264910336,0,0,58.0,@bigbasket_com @TataCompanies @jagograhakjago @harimenon_bb Without wasting another day in attention mode cancelled my order. All my statements about the service delivery and customer commitment of #BigBasket seems ironical.Thanks to customer care for teaching 'have patience' and 'we are doing everything' without doing actually nothing.,without waste another day attention mode cancel order statement service delivery customer commitment seem ironicalthanks customer care teach patience everything without actually nothing,0.7296,Positive
1.610506968250155e+18,2023-01-04 05:22:37+00:00,https://twitter.com/bigbasket_com/status/1610506968250155009,6,1,1192.0,"An all-new thin, light, crunchy and chatpata avatar of the traditional biscuit, Sunfeast All Rounder is everyone's favourite; making it the true Sharma Ji Ka Ladka!

Shop now from big basket!

#bigbasket #AllRounder #Sunfeast #Biscuit #Snack #OnlineShopping #GroceryDelivery #Shop https://t.co/Zu9f00yndc",allnew thin light crunchy chatpata avatar traditional biscuit sunfeast rounder everyones favourite make true sharma ji ka ladka shop big basket,0.4215,Positive
1.61069060561689e+18,2023-01-04 17:32:20+00:00,https://twitter.com/pgagan/status/1610690605616889858,0,0,101.0,@bigbasket_com @tata_neu - I am unable to apply any voucher code when placing BigBasket order via TataNeu app. This happened in Dec'22 and again today. What is point of vouchers if you don't allow them to be applied? #bigbasket #grocery #tatadigital #tataneu,unable apply voucher code place order via tataneu app happen dec22 today point voucher dont allow apply,-0.1695,Negative
1.6107082117573837e+18,2023-01-04 18:42:17+00:00,https://twitter.com/TanishChaurasi9/status/1610708211757383681,0,0,14.0,"@tata_neu @tata_neu @bbnow_bigbasket @bigbasket_com plz respond my msg and reply me and refund my amount other ready for legal action.

#bigbasket #bigbasketcheeter #bigbasketfake",plz respond msg reply refund amount ready legal action,0.5106,Positive
